一,5
七,5
万,5
三,5
上,5
下,5
中,5
九,5
二,5
五,5
人,5
今,5
休,5
会,5
何,5
先,5
入,5
八,5
六,5
円,5
出,5
分,5
前,5
北,5
十,5
千,5
午,5
半,5
南,5
友,5
口,5
古,5
右,5
名,5
四,5
国,5
土,5
外,5
多,5
大,5
天,5
女,5
子,5
学,5
安,5
小,5
少,5
山,5
川,5
左,5
年,5
店,5
後,5
手,5
新,5
日,5
時,5
書,5
月,5
木,5
本,5
来,5
東,5
校,5
母,5
毎,5
気,5
水,5
火,5
父,5
生,5
男,5
白,5
百,5
目,5
社,5
空,5
立,5
耳,5
聞,5
花,5
行,5
西,5
見,5
言,5
話,5
語,5
読,5
買,5
足,5
車,5
週,5
道,5
金,5
長,5
間,5
雨,5
電,5
食,5
飲,5
駅,5
高,5
魚,5
不,4
世,4
主,4
乗,4
事,4
京,4
仕,4
代,4
以,4
低,4
住,4
体,4
作,4
使,4
便,4
借,4
働,4
元,4
兄,4
光,4
写,4
冬,4
切,4
別,4
力,4
勉,4
動,4
区,4
医,4
去,4
台,4
合,4
同,4
味,4
品,4
員,4
問,4
回,4
図,4
地,4
堂,4
場,4
声,4
売,4
夏,4
夕,4
夜,4
太,4
好,4
妹,4
姉,4
始,4
字,4
室,4
家,4
寒,4
屋,4
工,4
市,4
帰,4
広,4
度,4
建,4
引,4
弟,4
弱,4
強,4
待,4
心,4
思,4
急,4
悪,4
意,4
所,4
持,4
教,4
文,4
料,4
方,4
旅,4
族,4
早,4
明,4
映,4
春,4
昼,4
暑,4
暗,4
曜,4
有,4
服,4
朝,4
村,4
林,4
森,4
業,4
楽,4
歌,4
止,4
正,4
歩,4
死,4
民,4
池,4
注,4
洋,4
洗,4
海,4
漢,4
牛,4
物,4
特,4
犬,4
理,4
産,4
用,4
田,4
町,4
画,4
界,4
病,4
発,4
県,4
真,4
着,4
知,4
短,4
研,4
私,4
秋,4
究,4
答,4
紙,4
終,4
習,4
考,4
者,4
肉,4
自,4
色,4
英,4
茶,4
菜,4
薬,4
親,4
計,4
試,4
説,4
貸,4
質,4
赤,4
走,4
起,4
転,4
軽,4
近,4
送,4
通,4
進,4
運,4
遠,4
都,4
重,4
野,4
銀,4
門,4
開,4
院,4
集,4
青,4
音,4
頭,4
題,4
顔,4
風,4
飯,4
館,4
首,4
験,4
鳥,4
黒,4
丁,3
両,3
丸,3
予,3
争,3
交,3
他,3
付,3
令,3
仲,3
伝,3
位,3
例,3
係,3
信,3
倉,3
倍,3
候,3
停,3
健,3
側,3
億,3
兆,3
児,3
全,3
公,3
共,3
兵,3
具,3
典,3
内,3
冷,3
刀,3
列,3
初,3
利,3
刷,3
副,3
功,3
加,3
助,3
努,3
労,3
勇,3
勝,3
包,3
化,3
卒,3
協,3
単,3
博,3
印,3
原,3
参,3
反,3
取,3
受,3
史,3
号,3
司,3
各,3
向,3
君,3
告,3
周,3
命,3
和,3
唱,3
商,3
喜,3
器,3
囲,3
固,3
園,3
坂,3
型,3
塩,3
士,3
変,3
夫,3
央,3
失,3
委,3
季,3
孫,3
守,3
完,3
官,3
定,3
実,3
客,3
宮,3
害,3
宿,3
察,3
寺,3
対,3
局,3
岩,3
岸,3
島,3
州,3
巣,3
差,3
希,3
席,3
帯,3
帳,3
平,3
幸,3
底,3
府,3
庫,3
庭,3
康,3
式,3
弓,3
当,3
形,3
役,3
径,3
徒,3
得,3
必,3
念,3
息,3
悲,3
想,3
愛,3
感,3
成,3
戦,3
戸,3
才,3
打,3
投,3
折,3
拾,3
指,3
挙,3
改,3
放,3
救,3
敗,3
散,3
数,3
整,3
旗,3
昔,3
星,3
昨,3
昭,3
景,3
晴,3
曲,3
最,3
望,3
期,3
未,3
末,3
札,3
材,3
束,3
松,3
板,3
果,3
柱,3
栄,3
根,3
案,3
梅,3
械,3
植,3
極,3
様,3
標,3
横,3
橋,3
機,3
欠,3
次,3
歯,3
歴,3
残,3
殺,3
毒,3
毛,3
氏,3
氷,3
求,3
決,3
汽,3
油,3
治,3
法,3
波,3
泣,3
泳,3
活,3
流,3
浅,3
浴,3
消,3
深,3
清,3
温,3
港,3
湖,3
湯,3
満,3
漁,3
灯,3
炭,3
点,3
無,3
然,3
焼,3
照,3
熱,3
牧,3
玉,3
王,3
球,3
由,3
申,3
畑,3
番,3
登,3
的,3
皮,3
皿,3
直,3
相,3
省,3
矢,3
石,3
礼,3
祝,3
神,3
票,3
祭,3
福,3
科,3
秒,3
種,3
積,3
章,3
童,3
競,3
竹,3
笑,3
笛,3
第,3
筆,3
等,3
算,3
管,3
箱,3
節,3
米,3
粉,3
糸,3
紀,3
約,3
級,3
細,3
組,3
結,3
給,3
絵,3
続,3
緑,3
線,3
練,3
置,3
羊,3
美,3
羽,3
老,3
育,3
胃,3
脈,3
腸,3
臣,3
航,3
船,3
良,3
芸,3
芽,3
苦,3
草,3
荷,3
落,3
葉,3
虫,3
血,3
街,3
衣,3
表,3
要,3
覚,3
観,3
角,3
訓,3
記,3
詩,3
課,3
調,3
談,3
議,3
谷,3
豆,3
象,3
貝,3
負,3
貨,3
貯,3
費,3
賞,3
路,3
身,3
軍,3
輪,3
辞,3
農,3
辺,3
返,3
追,3
速,3
連,3
遊,3
達,3
選,3
郡,3
部,3
配,3
酒,3
里,3
量,3
鉄,3
録,3
鏡,3
関,3
陸,3
陽,3
隊,3
階,3
雪,3
雲,3
静,3
面,3
順,3
願,3
類,3
飛,3
養,3
馬,3
鳴,3
麦,3
黄,3
鼻,3
腕,2
湾,2
和,2
論,2
録,2
老,2
労,2
路,2
連,2
